PERIODO,NIU,DIUG,FIUG,CEC,VCD,VCF,GRUPO_CALIDAD_x,NIVEL_TENSION_x,CARGO_DISTRIBUCION,CONSUMO_MES,MES_FACTURADOS,%_PROP._ACTIVO,COMPENSADO,ALTITUD,LONGITUD,LATITUD
2025-07,20230144436,40.96,23,0.0,0.0,0.0,31,1,398.997,73.0,1,100,0,996.0,-76.297602,3.499609
2025-08,4179656,40.96,23,0.0,0.0,0.0,31,1,398.37,206.0,1,100,0,964.0,-76.382655,3.404002
2025-08,4080520,40.96,23,0.0,0.0,0.0,31,1,398.37,0.0,2,100,1,1376.0,-76.199915,3.481015
2025-08,1190990,57.02,26,0.0,0.0,0.0,32,1,398.37,135.0,2,100,0,1056.0,-76.239821,3.688794
2025-08,1690677,8.49,7,0.0,0.0,0.0,13,1,398.37,357.0,1,100,0,33.0,-76.980749,3.873217
2025-07,3900842,10.25,13,0.0,0.0,0.0,12,1,398.997,117.0,1,100,0,967.0,-76.509211,3.224256
2025-08,2931433,10.25,13,0.0,0.0,0.0,12,1,398.37,56.0,1,100,0,972.0,-76.29181,3.915909
2025-08,1045517,10.25,13,0.0,0.0,0.0,12,1,398.37,166.0,1,100,0,985.0,-76.297296,3.896868
2025-07,3534832,10.87,11,86.061,6867.65,6867.65,11,1,398.997,86.0,1,100,1,1001.0,-76.311084,3.541717
2025-07,1310696,40.96,23,0.0,0.0,0.0,31,1,398.997,0.0,2,100,1,949.0,-76.437521,3.513423
2025-08,4201318,11.1,12,80.717,6431.023,0.0,21,1,398.37,79.0,1,100,1,1036.0,-76.234366,3.331808
2025-08,20230543799,40.96,23,0.0,0.0,0.0,31,1,398.37,141.0,1,100,0,989.0,-76.297189,3.498132
2025-07,1283362,10.25,13,0.0,0.0,0.0,12,1,398.997,0.0,2,100,0,971.0,-76.545065,3.264917
2025-08,1972706,57.02,26,0.0,0.0,0.0,32,1,398.37,0.0,2,100,0,1311.0,-76.039911,4.110578
2025-08,2707684,40.96,23,0.0,0.0,0.0,31,1,326.865,191.0,1,0,0,952.0,-76.463872,3.442109
2025-08,3950621,8.49,7,0.0,0.0,0.0,13,1,398.37,46.0,1,100,0,12.0,-77.070215,3.882239
2025-08,1439610,10.87,11,0.0,0.0,0.0,11,1,398.37,192.0,1,100,0,998.0,-76.313685,3.537272
2025-08,1748424,10.87,11,71.564,5701.829,0.0,11,1,398.37,70.0,1,100,1,1003.0,-76.30954,3.547582
2025-07,3775846,40.96,23,0.0,0.0,0.0,31,1,398.997,67.0,1,100,0,926.0,-76.141637,4.409557
2025-08,2005478,11.1,12,0.0,0.0,0.0,21,1,398.37,65.0,1,100,0,1443.0,-76.236087,4.504992
2025-07,3368471,10.87,11,0.0,0.0,0.0,11,1,398.997,67.0,1,100,0,1046.0,-76.312865,3.552271
2025-08,3835327,40.96,23,0.0,0.0,0.0,31,1,398.37,280.0,1,100,0,963.0,-76.381332,3.401925
2025-08,3864651,40.96,23,0.0,0.0,0.0,31,1,398.37,29.0,1,100,0,959.0,-76.411886,3.386263
2025-08,3289264,10.87,11,129.75,10337.713,0.0,11,1,398.37,127.0,1,100,1,1017.0,-76.432753,3.619546
2025-08,1935962,40.96,23,0.0,0.0,0.0,31,1,398.37,0.0,2,100,1,2978.0,-75.887275,4.024701
2025-08,20240079012,40.96,23,0.0,0.0,0.0,31,1,398.37,74.0,1,100,0,876.0,-76.443373,3.405135
2025-08,1434708,40.96,23,99.065,0.0,7892.887,31,1,398.37,198.0,2,100,1,1277.0,-76.201196,3.554292
2025-07,1484766,10.87,11,0.0,0.0,0.0,11,1,398.997,120.0,1,100,0,1016.0,-76.296976,3.55574
2025-07,1910261,11.91,11,0.0,0.0,0.0,22,1,398.997,0.0,2,100,1,1381.0,-75.737433,4.7072
2025-07,2026442,11.91,11,0.0,0.0,0.0,22,1,398.997,104.0,1,100,0,964.0,-75.993877,4.801103
2025-08,20230045497,40.96,23,0.0,0.0,0.0,31,1,398.37,0.0,2,100,0,1398.0,-76.592375,3.685302
2025-08,1970944,57.02,26,0.0,0.0,0.0,32,1,398.37,0.0,2,100,0,946.0,-76.129582,4.243843
2025-07,1985702,11.1,12,0.0,0.0,0.0,21,1,398.997,72.0,1,100,0,923.0,-76.035173,4.530768
